TXOBEN,"State Unemployment Benefits in Texas, Thousands of Dollars, Quarterly, Seasonally Adjusted Annual Rate",,,,,,,,,
,,,,,,,,,,
observation_date,year,quarter,TXOBEN,,,,,,,
4/1/2000,2000,2,1032560,,,,,,,
7/1/2000,2000,3,1032228,,,,,,,
10/1/2000,2000,4,1029692,,,,,,,
1/1/2001,2001,1,1141632,,,,,,,
4/1/2001,2001,2,1374612,,,,,,,
7/1/2001,2001,3,1689876,,,,,,,
10/1/2001,2001,4,2141824,,,,,,,
1/1/2002,2002,1,2517808,,,,,,,
4/1/2002,2002,2,3265472,,,,,,,
7/1/2002,2002,3,2884220,,,,,,,
10/1/2002,2002,4,2798732,,,,,,,
1/1/2003,2003,1,2948720,,,,,,,
4/1/2003,2003,2,3036448,,,,,,,
7/1/2003,2003,3,2904500,,,,,,,
10/1/2003,2003,4,2780872,,,,,,,
1/1/2004,2004,1,2204288,,,,,,,
4/1/2004,2004,2,1796300,,,,,,,
7/1/2004,2004,3,1703888,,,,,,,
10/1/2004,2004,4,1550796,,,,,,,
1/1/2005,2005,1,1431552,,,,,,,
4/1/2005,2005,2,1327536,,,,,,,
7/1/2005,2005,3,1329720,,,,,,,
10/1/2005,2005,4,1306840,,,,,,,
1/1/2006,2006,1,1170404,,,,,,,
4/1/2006,2006,2,1159664,,,,,,,
7/1/2006,2006,3,1190268,,,,,,,
10/1/2006,2006,4,1181812,,,,,,,
1/1/2007,2007,1,1222908,,,,,,,
4/1/2007,2007,2,1161332,,,,,,,
7/1/2007,2007,3,1180896,,,,,,,
10/1/2007,2007,4,1205316,,,,,,,
1/1/2008,2008,1,1288844,,,,,,,
4/1/2008,2008,2,1385388,,,,,,,
7/1/2008,2008,3,2231868,,,,,,,
10/1/2008,2008,4,2833544,,,,,,,
1/1/2009,2009,1,3724876,,,,,,,
4/1/2009,2009,2,5928760,,,,,,,
7/1/2009,2009,3,7178560,,,,,,,
10/1/2009,2009,4,7276516,,,,,,,
1/1/2010,2010,1,7820124,,,,,,,
4/1/2010,2010,2,7013908,,,,,,,
7/1/2010,2010,3,6494048,,,,,,,
10/1/2010,2010,4,6108960,,,,,,,
1/1/2011,2011,1,5842976,,,,,,,
4/1/2011,2011,2,5521776,,,,,,,
7/1/2011,2011,3,5242336,,,,,,,
10/1/2011,2011,4,5169268,,,,,,,
1/1/2012,2012,1,5658932,,,,,,,
4/1/2012,2012,2,4522044,,,,,,,
7/1/2012,2012,3,3990324,,,,,,,
10/1/2012,2012,4,4075980,,,,,,,
1/1/2013,2013,1,3767228,,,,,,,
4/1/2013,2013,2,3474536,,,,,,,
7/1/2013,2013,3,3368084,,,,,,,
10/1/2013,2013,4,3351156,,,,,,,
1/1/2014,2014,1,2273400,,,,,,,
4/1/2014,2014,2,2168500,,,,,,,
7/1/2014,2014,3,2176200,,,,,,,
10/1/2014,2014,4,2251548,,,,,,,
1/1/2015,2015,1,2637136,,,,,,,
4/1/2015,2015,2,2664980,,,,,,,
7/1/2015,2015,3,2801284,,,,,,,
10/1/2015,2015,4,2928676,,,,,,,
1/1/2016,2016,1,3002424,,,,,,,
4/1/2016,2016,2,3071572,,,,,,,
7/1/2016,2016,3,3065840,,,,,,,
10/1/2016,2016,4,2951984,,,,,,,
1/1/2017,2017,1,2779488,,,,,,,
4/1/2017,2017,2,2514340,,,,,,,
7/1/2017,2017,3,2345224,,,,,,,
10/1/2017,2017,4,2307580,,,,,,,
1/1/2018,2018,1,2222844,,,,,,,
4/1/2018,2018,2,2001720,,,,,,,
7/1/2018,2018,3,1828324,,,,,,,
10/1/2018,2018,4,1966364,,,,,,,
1/1/2019,2019,1,2248472,,,,,,,
4/1/2019,2019,2,2110240,,,,,,,
7/1/2019,2019,3,1982192,,,,,,,
10/1/2019,2019,4,2098420,,,,,,,
1/1/2020,2020,1,3509876,,,,,,,
4/1/2020,2020,2,58542060,,,,,,,
7/1/2020,2020,3,51330412,,,,,,,
10/1/2020,2020,4,23409812,,,,,,,
1/1/2021,2021,1,36734556,,,,,,,
4/1/2021,2021,2,31279500,,,,,,,
7/1/2021,2021,3,6651972,,,,,,,
10/1/2021,2021,4,2190100,,,,,,,
1/1/2022,2022,1,1875052,,,,,,,
4/1/2022,2022,2,1667836,,,,,,,
7/1/2022,2022,3,1535268,,,,,,,
10/1/2022,2022,4,1738732,,,,,,,
1/1/2023,2023,1,1786026,,,,,,,
4/1/2023,2023,2,1926273,,,,,,,
